Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
90	Ameet	Jan 29, 2016	Yes	Great Service	Good service and product quality
91	nk	Jan 27, 2016	Yes	iphone 5s after a month	this iphone works brilliantly  its an ideal foil for new iphone users  for getting easier with this o.s.
92	RkChavali	Jan 27, 2016	Yes	superb phone ever	no need to tell about iPhone 5S
93	kumar_123chandan	Jan 27, 2016	Yes	Its run smoothly and fast	It's good to use and smooth
94	Sutanu	Jan 27, 2016	Yes	Buying iPhone from snapdeal	Nice experience to buy from snapdeal. The phone is perfect as described. I got it before the scheduled time to reach in my hand.
95	....	Jan 27, 2016	Yes	Good phone	Worth.......
96	krit	Jan 27, 2016	Yes	Very Nie Product	Very Nice Product
97	PC	Jan 27, 2016	Yes	yes the product is very good but most of the features work only with internet which is painfull	I am happy with the seller as I got it within the time I expected
98	Sshubam guptaa	Jan 27, 2016	Yes	Best iphone better than all	Best best best
99	Emon	Jan 27, 2016	Yes	Lives upto its name	Delivery was superfast.Well to be honest i thought it wl b the most user unfriendly but to my surprise it wasnt.on a full charge and decent 4G usage battery lasted for 15 hours.and yes u can sync mp3 songs from laptop and dont have to buy everything from itunes.the only con that i found was the charger microusb cable it looks very delicate and a little extra tug may just damage it.
100	Mohamed Manzoor	Jan 27, 2016	Yes	Awsome Apple Iphone 5S!	Got delivered to me in 2 days. I got it at a discount from the seller. Very happy and fully satisfied with this! Its been days since im using this and there is no problem at all...works like a charm! Go for this people!
101	Sumeet kaushik	Jan 24, 2016	Yes	Good iPhone at such great price  21999.	Excellent iPhone 5s nothing beyond this.
102	Rahul	Jan 24, 2016	Yes	Awesome it is	This is my first apple product. Previous was GOOGLE NEXUS 4 which was also a very good phone but seriously, today I came to know why apple is APPLE.
103	Guest	Jan 24, 2016	Yes	IPhone 5S 16gb	100% genuine product.  Delivered in good condition. You can trust on snap deal even in that much lower price.
104	Guest	Jan 24, 2016	Yes	happy to buy	This product is realy good.. You can trust and buy.. I'm still writing review from phone bought from this site
105	Aditya	Jan 24, 2016	Yes	I Phone.  This never dissapoints	After long a phone with perfct usability,  style and overall a package to serve all purposes of a phone and beyond.   As all i phones its again a master piece  200percent satisfied.
106	Manish Goyal	Jan 24, 2016	Yes	Awesome Phone at an amazing price....Nobody can beat Apple	Very Handy phone, easy to operate. Amazing speed & touch.  Highly recommend this phone.
107	Guest	Jan 24, 2016	Yes	I phone 5s space grey	Snapdeal is good company and good product available I phone
108	amaan	Jan 24, 2016	Yes	awesome smartphone	I recently bought an iPhone 5s I just love it now it a good smartphone
109	Shikhar	Jan 24, 2016	Yes	perfect condition	perfectly in working condition
110	smartygaba	Jan 24, 2016	Yes	i like ur product	i lv u snapdeal
111	Deepak	Jan 22, 2016	Yes	Perfectly deliver and awesome product	Compare all online sites but snapdeal ur best all of them...where are all sites denying to deliver the product u deliver within a day...luv to buy frm u
112	sommy	Jan 22, 2016	Yes	Awesome phone	Phone is great, nice looks.I am happy with the device and I think it is a great iPhone...
113	manasdas20	Jan 22, 2016	Yes	Good Product	good phone.....brand is enough... Pure metallic body....feeling branded
114	bholaram79.br	Jan 22, 2016	Yes	Excellent Product	very very good phone my family like this product
115	Sagar	Jan 22, 2016	Yes	Best mobile	Best mobile in its price range. No android can match its performance and looks.
116	Vijay	Jan 22, 2016	Yes	Very Very GOOOOOD!!!	Nice, Product is awesome and also the delivery service just great!!!!!
117	tomarrohit89	Jan 22, 2016	Yes	Good Product	grt handset....
118	abhi	Jan 22, 2016	Yes	AWESOME PHONE... FASTLY DELIVERED	I had an amazing experience with snapdeal.. and its genuine products
119	Pankaj Gupta	Jan 22, 2016	Yes	ipone 5s - the name itself says everything...	100% satisfied with the seller ; 100% satisfied with the snapdeal ; 100% satisfied with the transport; 100% satisfied with the packing; genuine product; warranty covers;  so if anybody wants he or she can surely can go for it......thumbs up
120	Raju	Jan 22, 2016	Yes	iPhone 5s space gray	awesome product with good brand in this range. Spnapdeal was helpful in exchange. Love it
121	RajarshiB	Jan 19, 2016	Yes	Awesome. Just one word says it all.	I am using this device for last one week. It is just as like as it was when launched. Snapdeal delivered 100 percent  original product inspite of huge discounts. I am very happy to re enjoy my experience as I lost my last 5S.  Apple was a awesome manufacturer and it still is. Quality is visible on every part of the decice. Most posh phone you can buy on earth is an iphone. Thumbs up
122	Guest	Jan 19, 2016	Yes	DIL KI DEAL	Got this gadget only in 21999 when same was available on Amazon at 25000 and the delivery speed of snapdeal is great with good packing and phone was 100% genuine only over all great experience shopping from snapdeal
123	MANU	Jan 19, 2016	Yes	GREAT PHONE	GREAT PHONE BY APPLE. LIGHT WEIGHT. GOOD LOOKS
124	Gopal	Jan 19, 2016	Yes	great experience	good product with reasonable price
125	Surya	Jan 19, 2016	Yes	good mobile	excellent mobile....superr fast delivery
