Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1149	Palanisamy	Oct 16, 2015	Yes	Nice product	I am totally satisfied with snapdeal servvice and the mobile I purchased (Micromax Canvas Spark2)
1150	Maha	Oct 16, 2015	Yes	Great product	Its a great product in this price. I dont think any other product like these features any company can launch. Its working and touch is very nice and smooth.
1151	Simmy	Oct 16, 2015	Yes	Thank you Micromax and Snapdeal.	Quality product at reasonable price. Hoping for some more  ahead.  Thank you,
1152	sanjeet	Oct 16, 2015	Yes	Perfect mobile in this price	This is my first mobile phone and it work perfectly. This mobile price is good.
1153	Raja	Oct 16, 2015	Yes	Micromax Canvas Spark 2 Review	The product is awesome and one of the best in its segment. Full paisa wasool type deal mili mujhe. Thanks to snapdeal.
1154	Dee	Oct 16, 2015	Yes	Micromax	It is nothing like anything... Best and cheapest
1155	DK	Oct 16, 2015	Yes	Superb smart phone	Micromax sparke 2 is a very good smart phone at this price. It's a multi language supported phone. The camera quality is also good. And processor is amazing. For Gujarati language you have to install multiling keyboard. Overall it's a good product.
1156	Vishesh Soni	Oct 16, 2015	Yes	India's cheapest 3G phone with such excellent features.	Happy to get it . This is such a phone that i will not have to regret on my purchase as most people do . Secondary camera is best . Really , good qualities selfie can be clicked . In this low price , such a big screen also makes it best phone . Happy with my phone .
1157	Sohan kadam	Oct 16, 2015	Yes	Must purchase	Its perfect mobile,touch is very smooth nd screen size so big
1158	marvellous	Oct 16, 2015	Yes	Nice product	I am so very happy from this product because this product price is very less in comparison of service provided by...
1159	ashu	Oct 16, 2015	Yes	Very good phone	I recommended other people to buy this phone from snapdeal
1160	nichu ali	Oct 16, 2015	Yes	ammmaaaziiinngggg	i heart it iwant same item again i suggested my friends this model
1161	akkii	Oct 16, 2015	Yes	Awesome phone	service is best and vry good i would like thank to snap deal service which they provide awesome service and guranted product
1162	coolmunish27	Oct 16, 2015	Yes	Nice phone	I have purchased this phone. The phone is working good.
1163	Abhijit	Oct 16, 2015	Yes	Perfect for low budgets	It is very marvelous Processing very fast  Design is amusing
1164	mangeshjadhav4522	Oct 16, 2015	Yes	Excellent phone	Recently I purchased micromax canvas spark 2 Mobile is very good looking.  The original smartphone..
1165	Sai	Oct 16, 2015	Yes	Nice product	This  product is really perfect choice  4 purchase
1166	Sk	Oct 16, 2015	Yes	Sunil Sahani	Very nyc product and also very nyc services for. Snapdeal
1167	jogender	Oct 16, 2015	Yes	Love it	Very good product i happy micromax canvas 2 4  gb spark  is a very good product  i am happy  your  product  thanx snap deal
1168	nice	Oct 16, 2015	Yes	Good	Excellent performance good quality vvvvvvvvvvvvvvvvv
1169	ARUN	Oct 16, 2015	Yes	Perfect mobile in price range	Good Applications & handling. But accessories like cover not available in store.
1170	Avi	Oct 16, 2015	Yes	Marvolous	I got Micromax canvas spark 2 and it is marvlous . having gud features and speed very fast. I m really so happy to have it from snapdeal.
1171	sha'd	Oct 15, 2015	Yes	Spark2	Nice looking mobile value for money......
1172	David	Oct 15, 2015	Yes	Spark	Good one. Waiting fr next flash sale. Just to grab one more  from micromax
1173	jadav.ghanshyam	Oct 15, 2015	Yes	Awesome with price	the price is awesome... No other brand may provide such low cost specifications.. Good display.. Nice n smooth working... Battery drains a little faster than I expected.. But.. In  Such price..not a big deal ... Overall... Awesome experience...
1174	Jayant	Oct 15, 2015	Yes	Spark 2	It' s excellent products  in a great price
1175	Asap	Oct 15, 2015	Yes	Very nice looking phone.	Very good value for money comparable to a lot of higher value smart phones available.
1176	NOT AS PER EXPECTATION	Oct 15, 2015	Yes	BCOZ ITS MEMORY CARD SLOT SHOWS PROBLEM	WHEN WE INSERT MICRO SD CARD AND IT SHOWS AFTER LONG TIME.
1177	Injamam	Oct 15, 2015	Yes	Best budjet phone ever	This is a awsm phone. Ilove this phone. It has great prosrsor. Is a bigget phone
1178	IKRAM shaikhjiwala	Oct 15, 2015	Yes	Awesome phone	Awesome phone... Very cheap price.... thanks 2 snep deal ...
1179	Sandy	Oct 15, 2015	Yes	Excellent in this price range	Thank you Micro max......brilliant job done.Awesome
1180	Sumit	Oct 15, 2015	Yes	Very very nice phone , love it	Must buy  Low price and feel very premium Nice touch and sound quality also good
1181	san	Oct 15, 2015	Yes	very nice and budget phone	super recommended for ordinary daily internet use.
1182	Anilkumar	Oct 15, 2015	Yes	Very nice product	Really very nice product in value for mony
1183	JAYASHANKAR	Oct 15, 2015	Yes	GOOD PRODUCT,I AM SATASIFIED YOUR ITEM	THIS IS NICE PRODUCT,NICE FEATURES,EXCALENT BATTARY BACK UP,GOOD SPECIFICATION,I AM SATASIFIED YOUR PRODUCT
1184	Sandip Prajapati	Oct 15, 2015	Yes	Excellent phone	This phone was very best performance provide and all friends and family member says good phone and very good large screen.
1185	vivek	Oct 15, 2015	Yes	THE SPARKLING PHONE	found a perfect phone with all the necessary features and at an affordable price. feeling woww to show off with my new micromax canvas spark.. :)
1186	MHR	Oct 15, 2015	Yes	LENOVO	WORKING FINE  THIS PRODUCT AND ALSO MICROMAX SPARK 2 MOBILE
1187	RAHUL MITRA	Oct 15, 2015	Yes	MICROMAX CANVAS SPARK 2 4 GB BLACK	THE CANVAS  SECOND SERIES MOBILE MICROMAX CANVAS SPARK2 4GB BLACK MOBILE IS VERY GOOD IN FUNCTIOIN, AND ITS WEIGHT IS MORE THAN CANVAS SPARK
1188	Goldy	Oct 15, 2015	Yes	Canvas Spark 2	I am happy with this phone.In this price features are awesome.Thankx for flipkart for best delivery within 2 days.
1189	SHYLENDRAKUMAR	Oct 15, 2015	Yes	Luxury  for lower and middle class	I am happy that Micromex Canvas Spark 2 4 GB Black is a product with more than my expectation for the price. It is slim and beauty with light weight. Definite this product is Luxury for Lower and Middle class users.
1190	D.S.Hada	Oct 15, 2015	Yes	Awesome mobile at this price	Service of snapdeal is very excellent its my fourth purchase
1191	chetan	Oct 15, 2015	Yes	Good buy	Perfect device for the value. The latest version for Android with large screen is just awesome
1192	satti	Oct 15, 2015	Yes	canvas q334	good product and speed delivery and be a very wonderfull product leatest vertion
